,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
216,217.0,1.0014428540880485,5.140410714994559,1200000.0,1.4913215933343225e-06,0.2620626807435329,2439.0122435465455,0.08302743028775028,2.4574607561664633e-07,1036163.6,25.0
217,218.0,1.02392572716038,5.333585194099129,1200000.0,1.5965579212073175e-06,0.2440017633033662,3539.6821163222194,0.06725188333104876,2.6747734193400825e-07,1064859.6,25.0
218,219.0,0.9716887367845872,5.038698226590476,1200000.0,1.6794362155055255e-06,0.2844978152423323,2901.0588605999947,0.07373532085153212,2.086252250525867e-07,872827.6,25.0
219,220.0,1.010808063928305,5.103669877630182,1200000.0,1.6543994005234657e-06,0.26353309721131524,3082.786375179887,0.07694659147439892,2.3090731200200158e-07,999232.8,25.0
220,221.0,0.9723985473226968,5.004707054566225,1200000.0,1.6972322526549751e-06,0.27632380829572867,2553.6335037350655,0.0839401175583031,1.9636994748097058e-07,946546.4,25.0
221,222.0,0.9981640398169178,5.003079911714991,1200000.0,1.4964359869975156e-06,0.2694500400492288,2500.258457683027,0.08596031971493079,2.2530618827030027e-07,1030886.8,25.0
222,223.0,1.001059701618245,4.801467939060352,1200000.0,1.35058392445058e-06,0.3100178009046033,4120.4323346838355,0.08445546743289062,2.5578938237859236e-07,890902.0,25.0
223,224.0,1.0235188098231898,5.067884808635505,1200000.0,1.5023825107442096e-06,0.2656419103966954,2118.1222237870097,0.0919979841613589,2.2962526834433082e-07,1036163.6,25.0
224,225.0,0.8991933849984922,5.5278888920738325,1200000.0,1.6537217181739248e-06,0.24201689873896726,1775.0183453261852,0.08620792102570812,2.433991863795803e-07,1067817.6,25.0
225,226.0,0.9632670246132957,4.665696251863068,1200000.0,1.4757117031846963e-06,0.30089895902388264,4358.836946330965,0.07984740968251969,2.2965112546717017e-07,922556.0,25.0
226,227.0,1.000527991113462,4.905300369949629,1200000.0,1.4918685342321477e-06,0.28801210678938816,3557.2180437147617,0.07711313749051568,2.323290502815635e-07,935924.8,25.0
227,228.0,1.0135144051107283,4.9030626220105376,1200000.0,1.615299795638351e-06,0.27463582476849524,3457.350945033133,0.07179105028251692,2.4704522360056644e-07,925514.0,25.0
228,229.0,0.9020762284630724,5.0113201269689895,1200000.0,1.7622672475517602e-06,0.2911312543383815,3077.2982080876827,0.0789211296255859,1.9888446265841362e-07,848694.4,25.0
229,230.0,0.9662693512351596,5.2043217554729395,1200000.0,1.8461560196635063e-06,0.2596255321620333,2348.290469057858,0.07516681296989586,1.958537110696113e-07,943588.4,25.0
230,231.0,0.8528532289388442,4.969281691177784,1200000.0,1.3674002248929902e-06,0.3003431292884642,2151.5535640865564,0.10000796531426737,2.2031340546490468e-07,938311.6,25.0
231,232.0,0.8654140485013095,4.9321847019460066,1200000.0,1.6829840414137517e-06,0.27445094383894286,2674.1844612136483,0.06591361247316929,2.126486708830234e-07,890902.0,25.0
232,233.0,0.9632136916300055,5.804299783637084,1200000.0,1.771049383041778e-06,0.22803725345310255,2050.1108235269785,0.07278275315822968,2.832816939297964e-07,1030886.8,25.0
233,234.0,1.0660131580560785,4.623162149353334,1200000.0,1.362720224825422e-06,0.29739168433182783,2566.4969745650887,0.09718675251620312,2.171552503090225e-07,986435.2,25.0
234,235.0,1.0363797646804094,5.665496748544108,1200000.0,1.8757252578192733e-06,0.23259712594256143,2419.0157811567187,0.07625124183385074,2.5150216110009785e-07,1036163.6,25.0
235,236.0,0.9831668072014402,5.138385266348251,1200000.0,1.6567942174873146e-06,0.279153838618484,1951.4760698378086,0.08908494964908825,2.0014435055622551e-07,917279.2,25.0
236,237.0,0.951672668798798,5.727114700747677,1200000.0,1.7729093680919527e-06,0.25067154337880737,2728.6829675734043,0.07360982401977745,2.461523833842489e-07,978200.4,25.0
237,238.0,1.0538212375652918,5.360226167052453,1200000.0,1.6262187485138242e-06,0.25247532725352073,3575.381179280579,0.070951671692431,2.54727027990695e-07,1036163.6,25.0
238,239.0,1.0927101284214282,5.618843330645625,1200000.0,1.8061687580134663e-06,0.2478114833179177,4209.662672922015,0.066963953341107,2.2358863377932073e-07,1057196.0,25.0
239,240.0,0.8969807381781417,5.279123186548773,1200000.0,1.5419566489730893e-06,0.2768669269397819,4286.904718212783,0.07184168605199587,2.73750398624988e-07,922556.0,25.0
240,241.0,0.99888325725681,4.997256471383956,1200000.0,1.5091384400041252e-06,0.29296120134580406,5040.046260789037,0.06732695908354197,2.543844375193835e-07,911934.4,25.0
